Address,Score,Best Strict Match With,,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0xcd838b7dff26b900a38c3fe5848748666cae48cf,,0x434020c39188807881a3e066eb0758ae5caeba39,31,71,false,Fantom,Fuse Mainnet,2024-02-11 18:56:33.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 06:41:37.000,Gas.zip
0xd326d3083d833c9c2f114499a8009da62db9b8b8,41.69,0x705e5d332f4c5b04f1541403418f09727ab6ad89,29,59,false,Fantom,Fuse Mainnet,2024-02-11 18:57:55.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 15:40:25.000,Gas.zip
0xe0be4e7bf4b65d7b9687970d29347d3e9e51012b,33.98,0x3db19b4ac715b0e28bcceaaba23aa17b6ca48ccc,21,43,false,Fantom,Fuse Mainnet,2024-02-11 19:00:49.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 03:21:41.000,Gas.zip
0xd38d24b0483b3366a5bf90a09711feb5af9baa79,32.15,0xfab2e15e0a1929683fef84a1f02311ff8fe950ea,24,47,false,Fantom,Fuse Mainnet,2024-02-11 19:03:07.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 13:28:38.000,Gas.zip
0x00000f5b610b7d5552513aef6415f57d9d008c58,40.39,0xb5a9a643c041bc418c498d3acc194a006793ae13,17,47,false,Fantom,Fuse Mainnet,2024-02-11 19:05:45.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 18:10:28.000,Gas.zip
0x1be25319107be5b1969c381f8e50f9f992cca757,32.64,0xfc5598f48d1cfa1e30169630b30e2d8abd2e57d3,27,46,false,Fantom,Fuse Mainnet,2024-02-11 19:12:41.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 23:04:47.000,Gas.zip
0xb5d8d093334fa3e395d1e1145cfa823acd658056,39.30,0x0375010372f8fbbdc7699e237ae68cb243ba4be6,25,51,false,Fantom,Fuse Mainnet,2024-02-11 19:16:11.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 16:49:52.000,Gas.zip
0x8f88487798e2928a82d6f6c3c660a5f670fa83a4,31.02,0x9b7c02b6d63b138452b76a622bd477d36e03b66f,22,40,false,Fantom,Fuse Mainnet,2024-02-11 19:34:10.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 20:10:31.000,Gas.zip
0x0c4870a39ba8db28a1d9412586b5c805cd85f933,23.66,0x1809a7d3bf168d59a025df46eb97c2c58edc5657,12,38,false,Fantom,Fuse Mainnet,2024-02-11 20:06:45.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 14:00:56.000,Gas.zip
0x3db19b4ac715b0e28bcceaaba23aa17b6ca48ccc,57.01,0xc730d296ed98d832821ff48743704b5bc54e1fb1,24,62,false,Fantom,Fuse Mainnet,2024-02-11 20:16:17.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 11:00:30.000,Gas.zip
0x66ec20adf9405f50d3d18a390573c03a7a5d8dd8,35.99,0x90cf9afdbc3dd7b03c094f251da1b1f31502b74d,40,80,false,Fantom,Fuse Mainnet,2024-02-11 20:18:04.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 14:35:10.000,Gas.zip
0xe6f1671886a564121abe159b90e83dafb770a611,63.38,0xfab2e15e0a1929683fef84a1f02311ff8fe950ea,41,64,false,Fantom,Fuse Mainnet,2024-02-11 20:21:47.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 19:34:56.000,Gas.zip
0x899c4766f611d4ede035c9fa6029101bed673599,36.48,0xacbbef553c0d2308c265728418855d035426ee0e,30,55,false,Fantom,Fuse Mainnet,2024-02-11 20:23:20.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 19:04:40.000,Gas.zip
0xfd5b328a91adfbb16ec4a4f11fa8e7921f9fa3f3,23.56,0xa731f6970043898a8c276892d80f94450aaafd41,22,39,false,Fantom,Fuse Mainnet,2024-02-11 20:30:20.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 18:09:18.000,Gas.zip
0xf059ce134a7ab0dbfdf543835864a0bd9f8443d9,58.38,0x5c4cf650d09b0bb02d73d4afbcc3d1a0d86588b8,27,62,false,Fantom,Fuse Mainnet,2024-02-11 20:32:09.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 12:21:43.000,Gas.zip
0x0000f1c427bc6b2137554db3c9886e0a1019338f,27.64,0xd4af71d55eaf9ff26c9c9a1ef1cd548dd56490e5,28,50,false,Fantom,Fuse Mainnet,2024-02-11 20:36:19.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 11:53:43.000,Gas.zip
0xf9e9db26722402e1a592e86a694be860130cc529,49.89,0x3d8660fc5840da7398f5081e58b006528323d19d,32,63,false,Fantom,Fuse Mainnet,2024-02-11 20:39:16.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 10:17:12.000,Gas.zip
0x56a0c797a66dc97d9775864db57974ffd4107ebf,38.24,0x50d455f5ab804c27dee2d9b91e64c991c147e161,31,56,false,Fantom,Fuse Mainnet,2024-02-11 20:41:04.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 00:21:44.000,Gas.zip
0x78eb5f37e53bca1ee2ba3befbd4a11c5660ee3d9,44.89,0x88273ecd65165e5d2155909babcb6e490a113fc9,20,56,false,Fantom,Fuse Mainnet,2024-02-11 20:43:26.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 15:45:24.000,Gas.zip
0x1cfcd38ab44faa848da7894169386a6d3277e570,53.59,0x8af5000489862153d79ffe21487caaa01aecd55e,43,70,false,Fantom,Fuse Mainnet,2024-02-11 20:45:09.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 20:17:48.000,Gas.zip
0x4261ab4a75711173865ad3ba61d065d9ad7a7ec1,65.95,0x6902d4c96e646c3bf22d53e99274040eddd319fa,31,65,false,Fantom,Fuse Mainnet,2024-02-11 20:47:54.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 05:42:59.000,Gas.zip
0xbe3823d62b7e6063c59ccab5ba8437e03a54246b,24.75,0xdce8a3c67f16492fad78f10e6d04de56b19e1b24,24,39,false,Fantom,Fuse Mainnet,2024-02-11 20:50:22.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 01:15:07.000,Gas.zip
0x8443e5cb4de0d865905f29c88d448c8c23be447e,34.05,0xd7961d41a9f8a5e364e0aeb76c616b89ae5156f7,44,100,false,Fantom,Fuse Mainnet,2024-02-11 20:54:15.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 16:09:21.000,Gas.zip
0x0267ff6e2ca6fcd70ec4518a618d8d7ac2e5e94b,46.48,0xd4e48d51afbe1c0144cb9abbc6795bf99b5d09ba,38,68,false,Fantom,Fuse Mainnet,2024-02-11 20:55:51.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 19:48:26.000,Gas.zip
0x1809a7d3bf168d59a025df46eb97c2c58edc5657,31.80,0x0266b2da96f5d125f9bcea27b18cef285d7b0076,19,48,false,Fantom,Fuse Mainnet,2024-02-11 20:59:24.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 01:10:55.000,Gas.zip
0x1cd33d039cd229066864e8c19768c0ba39440fcd,36.09,0xff78b4c19db4ebdf86dbda210943342bc0e2f45e,21,44,false,Fantom,Fuse Mainnet,2024-02-11 21:00:59.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 10:31:27.000,Gas.zip
0xd790ac034257e3044b7d4d44822719cc984195f5,59.26,0x5b41968d36d742fd5a0e83994b41985f4a531bf4,32,62,false,Fantom,Fuse Mainnet,2024-02-11 21:03:29.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-14 23:57:06.000,Gas.zip
0xc1ef3a2b9b67cba9499228919196c8ced3f66208,25.81,0xd945348864251a671e45e2510c8141fef3b74913,45,82,false,Fantom,Fuse Mainnet,2024-02-11 21:05:26.000,Gas.zip,Fantom,Fuse Mainnet,2024-04-15 07:14:36.000,Gas.zip
