User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0xcd838b7dff26b900a38c3fe5848748666cae48cf,71,0.00,0.00,1 | 1 | 3,9 | 7 | 3,2024-02-11,2024-04-15,false
0xd326d3083d833c9c2f114499a8009da62db9b8b8,59,0.00,0.00,1 | 1 | 3,8 | 7 | 3,2024-02-11,2024-04-15,false
0xe0be4e7bf4b65d7b9687970d29347d3e9e51012b,43,0.00,0.00,1 | 1 | 3,8 | 7 | 3,2024-02-11,2024-04-15,false
0xd38d24b0483b3366a5bf90a09711feb5af9baa79,47,0.00,0.00,1 | 1 | 3,8 | 6 | 3,2024-02-11,2024-04-15,false
0x00000f5b610b7d5552513aef6415f57d9d008c58,47,0.00,0.00,1 | 1 | 3,9 | 7 | 3,2024-02-11,2024-04-14,false
0x1be25319107be5b1969c381f8e50f9f992cca757,46,0.00,0.00,1 | 1 | 3,8 | 6 | 3,2024-02-11,2024-04-14,false
0xb5d8d093334fa3e395d1e1145cfa823acd658056,51,0.00,0.00,1 | 1 | 3,8 | 6 | 3,2024-02-11,2024-04-14,false
0x8f88487798e2928a82d6f6c3c660a5f670fa83a4,40,0.00,0.00,1 | 1 | 3,7 | 6 | 3,2024-02-11,2024-04-15,false
0x0c4870a39ba8db28a1d9412586b5c805cd85f933,38,0.00,0.00,1 | 2 | 4,10 | 8 | 3,2024-02-11,2024-04-15,false
0x3db19b4ac715b0e28bcceaaba23aa17b6ca48ccc,62,0.00,0.00,1 | 1 | 4,11 | 9 | 3,2024-02-11,2024-04-15,false
0x66ec20adf9405f50d3d18a390573c03a7a5d8dd8,80,0.00,0.00,1 | 1 | 3,10 | 6 | 3,2024-02-11,2024-04-15,false
0xe6f1671886a564121abe159b90e83dafb770a611,64,0.00,0.00,1 | 2 | 4,8 | 7 | 3,2024-02-11,2024-04-14,false
